,DeltaG,DeltaH,DeltaH_0,DeltaG_std,DeltaH_std,DeltaH_0_std
84_sim,-8.477643263811633,-4.464768598821155,-2.454067180574073e-06,0.4118867353045316,0.33123888555125824,2.323552319147336e-06
85_sim,-9.147267588779883,-5.076148350572003,2.3941256414779627e-06,0.3700279964606806,0.214927744671219,1.6085144385877602e-06
86_sim,-8.694283111004133,-6.104912111462915,4.1596890964563055e-06,0.3769295945401458,0.3278111649553435,2.317538405251265e-06
87_sim,-7.878590004135474,-4.610581067572343,-3.877870485207499e-06,0.5034687061608881,0.5805174064090306,3.636580730472608e-06
88_sim,-8.011073902791987,-4.721561876132515,-2.4244418830731227e-06,0.4824230842911613,0.50747475821203,3.3017447607553334e-06
89_sim,-8.71350694730669,-4.962961274248449,3.3482326835857305e-06,0.39784443134632796,0.2827025691361438,1.9865618523349366e-06
90_sim,-8.10812042831992,-5.3945945786939795,-3.263558466408456e-06,0.46980494293196934,0.5747500604963367,3.7222104951727157e-06
91_sim,-8.530861880165974,-5.284285925489554,-2.775208527651926e-06,0.41483088613018665,0.39492402132183074,2.7672834467031204e-06
92_sim,-10.064002766609155,-5.008706947283006,-1.0487271505746911e-07,0.15666627679709733,0.039822779017173994,3.0376849028641456e-07
93_sim,-8.312882281705868,-5.86258796412109,5.169655885430507e-06,0.4015748761484867,0.43163438401756415,2.8489579105614797e-06
94_sim,-9.811199759846241,-5.234190805952332,1.6457435899884464e-06,0.4185796100491749,0.13831003058849656,1.033924946699153e-06
95_sim,-10.051075906199182,-4.2160166582631105,8.435985367125724e-07,0.22106826861687906,0.04889138351331683,3.7790678491320253e-07
96_sim,-7.502838968865385,-5.850897072568384,9.411993742216033e-06,0.0005810003755259805,0.0005810005377729231,4.112247602125624e-06
97_sim,-7.945548527839134,-5.567497441201389,6.767066485265103e-06,0.0001220703125,0.3750537261917804,4.3452742167631515e-06
98_sim,-9.748088792504284,-4.518113167068402,6.002504195205669e-07,0.33444427959578227,0.10022547719702478,7.549674780100587e-07
99_sim,-8.793847896023506,-5.271781550497558,3.175645448462054e-06,0.3773730708510493,0.2846095795542256,1.8666464037756058e-06
100_sim,-9.504968760577812,-5.2228380081916095,-3.079117082503501e-07,0.31716407133390284,0.15903504818506992,1.2275737136319363e-06
101_sim,-9.273801593205325,-5.0278010080255315,-8.972218193397231e-07,0.337657910826038,0.193566152253931,1.4498331264145015e-06
102_sim,-9.212933895815423,-4.197632587495018,-6.299453574640204e-07,0.3232720339511713,0.18573997560747715,1.3342091893272366e-06
103_sim,-7.720694614594433,-6.582960782121784,8.824906577063207e-06,0.3045565382264906,0.00039819300386657376,3.186092834132447e-06
104_sim,-9.665576432906146,-4.712946230244579,1.5951934999667414e-07,0.18584158785152893,0.07228811134182458,5.432478786671313e-07
105_sim,-9.412861035519457,-4.609513864910992,-1.974289947702355e-07,0.24695141822785127,0.11688031461876877,8.600524858589728e-07
106_sim,-8.167502846724416,-4.729491979943892,-2.406475747274488e-06,0.46017140298603104,0.47078944057481964,3.120086389113554e-06
107_sim,-9.52367889516224,-4.764158419630164,-4.099495571173218e-07,0.3054475244953845,0.1348129284599853,1.0244307462594329e-06
108_sim,-7.896964157470459,-5.901392616528402,6.955820015831513e-06,0.4293551609557897,0.6020867625688228,3.757969514613355e-06
109_sim,-8.517938960036876,-6.334206879227239,5.088355423465082e-06,0.35971962982587846,0.3728742732707251,2.6395039516435645e-06
110_sim,-9.152756531980968,-5.066289505444519,-1.5733455340583324e-06,0.37443781107164636,0.23755290961963835,1.7758564282599988e-06
111_sim,-8.132019943290556,-6.073887603085969,6.357496462110468e-06,0.4048473372006523,0.5012222142562753,3.183077193730639e-06
112_sim,-9.346383439361,-4.511484042379518,-7.604922002136381e-07,0.33171117128859967,0.1683675525143387,1.3053136857015254e-06
113_sim,-7.014512235752368,-8.11824569149861,1.5356775844737617e-05,0.0003425589648535713,0.00035161494817513773,3.4724573370479174e-06
114_sim,-9.294269061433733,-5.09160760509041,-1.179368516105615e-06,0.3601079874575365,0.21289736706534926,1.6461252393511273e-06
115_sim,-7.6675829261768484,-4.986611321607395,-5.5429125416016725e-06,0.5218285428699966,0.7761393094350312,4.665319282918235e-06
116_sim,-9.763475155096165,-4.805519938829195,-1.7640803498575928e-07,0.22401544301125206,0.08037848393002663,6.112283572265289e-07
117_sim,-7.858600091220191,-5.9657992280260475,6.977419589533256e-06,0.4263474275276037,0.6233698291530289,3.6974377449358622e-06
118_sim,-7.419569285113331,-3.8423145997022203,-4.975912891463206e-06,0.5315727404595888,0.6955600662108155,3.921854826140473e-06
119_sim,-7.567673957122415,-6.396619929810866,9.555365147217136e-06,0.4300330299882941,0.7740833030113361,4.280552919306594e-06
120_sim,-7.78585664890285,-6.551219326100183,8.354051275304828e-06,0.41424640335237245,0.6687080974085038,3.8785567612047674e-06
121_sim,-8.995139494001224,-5.017166626004856,2.8335233790361173e-06,0.3336104761553383,0.21848392324709984,1.5828940271583845e-06
